time_s,force_n,displacement_m,displacement_mm,velocity_m_s,acceleration_m_s2,acceleration_g
2.261,2.756100125254414e-28,3.731837545930917e-12,3.731837545930918e-09,-1.1915543412382663e-10,-2.3933798287609785e-06,-2.4405682152019076e-07
2.262,2.2189842906633203e-28,3.1366501237896522e-12,3.1366501237896523e-09,-2.376345221755197e-09,-1.3507052695687864e-06,-1.3773360623340147e-07
2.263,1.7854635789839626e-28,8.90011599263652e-13,8.90011599263652e-10,-3.0892534463146586e-09,3.179985616663463e-07,3.2426828903483486e-08
2.2640000000000002,1.4357850911194665e-28,-2.5049633973109257e-12,-2.504963397310926e-09,-1.4801476121620065e-09,2.059562633206571e-06,2.1001694087242547e-07
2.265,1.1539156142949957e-28,-3.636029242780738e-12,-3.6360292427807383e-09,1.0313271087235252e-09,2.0661711841405942e-06,2.1069082552559685e-07
2.266,9.268504535801594e-29,-2.4798186946536145e-12,-2.4798186946536147e-09,2.9368631869497546e-09,7.606004928947898e-07,7.755966542038207e-08
2.267,7.440488985706664e-29,3.8673754943248e-13,3.8673754943248e-10,2.7465363642571287e-09,-1.0491499498211344e-06,-1.0698352136775906e-07
2.2680000000000002,5.969734582945538e-29,3.4227542332887057e-12,3.4227542332887055e-09,4.930507283293152e-10,-2.3700575698146726e-06,-2.41678612963109e-07
2.269,4.787140663083939e-29,3.3368933355302792e-12,3.336893335530279e-09,-1.9046457013851924e-09,-1.6179571497920305e-06,-1.6498571375464922e-07
2.27,3.8368181317734124e-29,1.5466735955398433e-12,1.5466735955398433e-09,-3.170177918973522e-09,-8.57352189805019e-08,-8.74255928176308e-09
